Disaster_ID,Magnitude,Fatalities,Economic_Loss($),Year,Month,Day,DayOfYear,Disaster_Type_Encoded,Location_Encoded
1,6.267392628,9706,650979004,2024,1,1,1,4,0
2,6.649357863,2233,553835715,2024,1,1,1,2,3
3,9.724365973,478,69109975.55,2024,1,1,1,3,1
4,1.702505013,2867,847488044.2,2024,1,1,1,1,2
5,7.917748011,776,644929746,2024,1,1,1,1,0
6,2.717113009,3534,574465547.8,2024,1,1,1,3,1
7,6.491890634,8220,342428649.4,2024,1,1,1,2,2
8,2.652747469,2261,697554915.1,2024,1,1,1,0,1
9,8.157574165,5016,720960902.8,2024,1,1,1,1,0
10,1.024186643,5135,998583347.3,2024,1,1,1,1,2
11,8.405111072,8636,301620439.6,2024,1,1,1,0,3
12,9.465754017,439,350737478.4,2024,1,1,1,1,5
13,6.143754196,206,570378176.7,2024,1,1,1,0,5
14,8.948562577,2176,452037092.5,2024,1,1,1,0,1
15,8.298958693,3512,688364608.4,2024,1,1,1,0,3
16,6.850348156,5423,720480066.3,2024,1,1,1,2,4
17,8.368748853,4682,365297720.1,2024,1,1,1,3,3
18,4.813664804,1720,183142032.7,2024,1,1,1,4,2
19,4.589685578,3615,841308023.5,2024,1,1,1,0,4
20,9.546150648,142,470365410.5,2024,1,1,1,0,4
21,6.229724705,8823,243134578.9,2024,1,1,1,0,2
22,5.672028929,593,884922999.8,2024,1,1,1,2,5
23,8.802211795,7954,153131596,2024,1,1,1,2,3
24,3.619608238,3763,107650734.9,2024,1,1,1,2,5
25,2.211183422,9780,313702258.8,2024,1,2,2,4,5
26,2.003895813,2415,970430242.2,2024,1,2,2,1,1
27,9.696287973,1523,856200324.5,2024,1,2,2,2,0
28,5.933946342,8386,462335970.9,2024,1,2,2,1,3
29,7.015748036,3675,823567866.5,2024,1,2,2,1,1
30,8.254696502,9403,912318985.4,2024,1,2,2,3,2
31,9.709790987,59,92082187.71,2024,1,2,2,2,3
32,6.896664401,8956,237191816.3,2024,1,2,2,2,1
33,5.551984642,2263,125198816,2024,1,2,2,1,0
34,6.104293091,856,36719660.87,2024,1,2,2,2,4
35,9.558284598,4946,371790741.3,2024,1,2,2,4,0
36,4.653539587,3459,533489978.8,2024,1,2,2,0,4
37,9.728581333,3720,744204758.7,2024,1,2,2,2,1
38,5.48967754,1244,34230186.62,2024,1,2,2,1,3
39,5.486963915,1175,709471742.1,2024,1,2,2,3,0
40,2.305826966,8778,390260203.4,2024,1,2,2,3,1
41,4.66563278,1715,555275050.9,2024,1,2,2,3,4
42,7.327488742,7056,784704507.8,2024,1,2,2,1,1
43,6.981626731,3267,126603026.4,2024,1,2,2,2,3
44,1.150600311,9842,929421240.8,2024,1,2,2,2,0
45,6.696509951,1458,178748896.5,2024,1,2,2,3,0
46,8.164479464,8312,21404091.58,2024,1,2,2,0,2
47,9.449193924,2856,985168936.4,2024,1,2,2,4,0
48,1.42232338,9013,956994895.6,2024,1,2,2,1,3
49,3.263131099,6848,105955580.1,2024,1,3,3,2,4
50,7.816876538,4279,186332671.8,2024,1,3,3,3,2
51,8.868929825,5909,433968691.9,2024,1,3,3,0,2
52,9.265085574,5147,825553165,2024,1,3,3,0,0
53,9.760155015,1915,515313106.1,2024,1,3,3,0,4
54,4.132590791,9349,539999950.6,2024,1,3,3,2,1
55,4.477801955,2754,422650507.5,2024,1,3,3,2,5
56,5.258579682,7292,488571360.5,2024,1,3,3,1,3
57,1.827413713,4016,86243283.53,2024,1,3,3,4,2
58,1.144731116,5765,56743978.01,2024,1,3,3,2,4
59,6.664648902,1016,485222395.2,2024,1,3,3,0,3
60,4.792581086,9618,340304706.7,2024,1,3,3,4,2
61,8.852628279,1798,941323423.7,2024,1,3,3,4,5
62,4.732585813,6310,361735472.6,2024,1,3,3,3,3
63,5.922554137,2886,528332799.5,2024,1,3,3,1,2
64,7.417040025,5322,420024041.4,2024,1,3,3,3,3
65,7.675280481,1202,226324432.4,2024,1,3,3,0,1
66,7.155038558,2007,925584134.7,2024,1,3,3,4,2
67,7.116270493,7581,389971838.8,2024,1,3,3,0,0
68,8.495923161,8822,808651443.7,2024,1,3,3,0,4
69,3.393287746,6476,159992157.5,2024,1,3,3,1,3
70,2.735551735,2441,815069655.6,2024,1,3,3,1,1
71,9.468281154,7354,296997653.1,2024,1,3,3,3,1
72,2.651490478,4308,812686344.8,2024,1,3,3,1,4
73,6.638911376,6532,348700270.6,2024,1,4,4,1,1
74,6.628269612,8209,805231284.4,2024,1,4,4,2,1
75,3.384161148,4901,68082418.98,2024,1,4,4,2,3
76,5.913238863,6925,959436227.5,2024,1,4,4,2,1
77,1.419720196,3540,916015803,2024,1,4,4,3,0
78,2.281545614,1989,189392059.3,2024,1,4,4,3,1
79,7.516481676,9914,914663694.3,2024,1,4,4,1,0
80,1.683837508,7394,123276430.3,2024,1,4,4,1,0
81,5.407125582,5890,359774108.3,2024,1,4,4,3,0
82,1.527597021,1043,785380625.6,2024,1,4,4,3,2
83,6.872804923,4063,869049597.8,2024,1,4,4,0,0
84,6.101049481,530,434977445.7,2024,1,4,4,1,5
85,2.053683904,368,887367502.2,2024,1,4,4,2,1
86,8.346805322,3325,647130898.8,2024,1,4,4,0,4
87,4.772379154,4239,137716353.5,2024,1,4,4,0,4
88,9.975996424,1817,111831975.4,2024,1,4,4,0,3
89,4.358859576,5204,578486296.5,2024,1,4,4,4,1
90,9.055197736,9473,701292827.1,2024,1,4,4,0,3
91,1.339403348,8745,650653426.6,2024,1,4,4,2,4
92,7.374062268,6882,346636276,2024,1,4,4,4,2
93,4.603349951,7018,26499484.42,2024,1,4,4,2,2
94,9.231381334,2770,876111647,2024,1,4,4,4,3
95,3.524548103,4838,866641393.7,2024,1,4,4,0,4
96,2.704069672,6511,751293495.5,2024,1,4,4,4,1
97,1.095390378,3592,64661427.9,2024,1,5,5,4,0
98,9.685262922,9822,699755651.4,2024,1,5,5,2,0
99,2.02185101,9214,253615491.9,2024,1,5,5,3,0
100,6.095448585,149,280205277.1,2024,1,5,5,3,4
101,5.050843581,8655,798763257.2,2024,1,5,5,1,3
102,4.967642141,7479,366853513.2,2024,1,5,5,2,0
103,6.151683173,7945,351506060.4,2024,1,5,5,3,0
104,2.58115141,4498,455668741.4,2024,1,5,5,1,4
105,4.369512173,3481,686864394.5,2024,1,5,5,3,0
106,4.882687297,6290,302196217.5,2024,1,5,5,0,0
107,1.878550149,7141,794402551.7,2024,1,5,5,1,3
108,6.112114246,356,694074230.7,2024,1,5,5,3,5
109,2.134896566,8749,769133943.8,2024,1,5,5,0,0
110,4.889894059,6058,267702394.5,2024,1,5,5,4,3
111,4.413747172,2659,659617969.5,2024,1,5,5,1,2
112,5.866977795,1632,563151545.4,2024,1,5,5,2,2
113,3.616343003,9576,499838912.6,2024,1,5,5,3,1
114,3.879661479,4768,997541934.9,2024,1,5,5,0,0
115,8.857048145,1162,264646117.8,2024,1,5,5,0,2
116,7.392052826,3358,345640696.4,2024,1,5,5,4,2
117,4.351117748,4928,808158355.4,2024,1,5,5,2,1
118,1.649264206,9729,628163034.5,2024,1,5,5,1,3
119,7.090734097,690,146746828.6,2024,1,5,5,2,1
120,7.815379429,3442,544709175.3,2024,1,5,5,2,1
121,8.422013013,3528,789667706.4,2024,1,6,6,0,4
122,6.714231048,7376,636305399,2024,1,6,6,4,4
123,4.626214844,6340,301356054.3,2024,1,6,6,0,3
124,6.598528625,4042,301089552.7,2024,1,6,6,1,3
125,3.109969757,3503,895613135.3,2024,1,6,6,4,2
126,4.336670703,2242,593644905.4,2024,1,6,6,3,5
127,2.896443588,4093,932813611.1,2024,1,6,6,3,5
128,7.194981714,3070,25930266.96,2024,1,6,6,1,4
129,8.532080115,6006,387075319,2024,1,6,6,0,3
130,5.363252162,4651,112483134.8,2024,1,6,6,4,2
131,1.59187462,3589,748507143.4,2024,1,6,6,3,4
132,1.337846551,4554,458843599.6,2024,1,6,6,0,0
133,8.506991021,9324,182221504.3,2024,1,6,6,2,0
134,9.944052221,5556,614169230.5,2024,1,6,6,2,5
135,5.974414315,7111,653329513.6,2024,1,6,6,3,3
136,4.317610561,1372,495705646.5,2024,1,6,6,2,1
137,5.01268453,1174,495277987.4,2024,1,6,6,2,2
138,9.047110535,4839,645862920.5,2024,1,6,6,0,3
139,9.092846025,2211,107092896,2024,1,6,6,3,2
140,5.322664735,8764,726870765.3,2024,1,6,6,4,2
141,8.545265981,5942,121478028.4,2024,1,6,6,3,4
142,8.183347026,2697,398593722.8,2024,1,6,6,3,5
143,1.561752193,1808,35577042.52,2024,1,6,6,4,4
144,6.763275768,6915,135454671.7,2024,1,6,6,0,1
145,9.482560098,2474,767014766.7,2024,1,7,7,4,4
146,9.424886163,3068,112441465.6,2024,1,7,7,1,2
147,4.472710802,3921,939728784.4,2024,1,7,7,0,3
148,8.487854395,2962,381301684.2,2024,1,7,7,0,0
149,1.553406469,5875,942232993.2,2024,1,7,7,1,2
150,1.613797105,1060,113948702.5,2024,1,7,7,0,1
151,1.395693572,232,480003291.7,2024,1,7,7,2,2
152,6.268774984,3464,390997401.7,2024,1,7,7,2,2
153,8.955033759,891,447236758.7,2024,1,7,7,3,5
154,9.764176848,1968,456050961.6,2024,1,7,7,3,2
155,8.461211961,5655,919106217.6,2024,1,7,7,2,4
156,9.807741198,8523,288440280.9,2024,1,7,7,0,5
157,8.688713598,4536,541617615.8,2024,1,7,7,0,5
158,3.777846298,7961,779049842,2024,1,7,7,0,0
159,2.665280053,9056,770854037.2,2024,1,7,7,1,5
160,6.185045657,3914,171906333.8,2024,1,7,7,0,4
161,9.335068698,1856,161170400.5,2024,1,7,7,4,1
162,9.105501635,1964,73798674.43,2024,1,7,7,4,4
163,6.932206023,4850,651897376.7,2024,1,7,7,3,0
164,7.792206024,4321,643295361.3,2024,1,7,7,3,4
165,6.672606243,8994,61201633.26,2024,1,7,7,1,3
166,8.278736153,1366,392032383.8,2024,1,7,7,3,2
167,9.862703245,9963,76166885.53,2024,1,7,7,1,3
168,3.537540331,2365,562281189.9,2024,1,7,7,0,0
169,7.987825863,2723,212534336.6,2024,1,8,8,0,1
170,6.155667337,5993,569091884.5,2024,1,8,8,0,3
171,3.377697804,3301,587618407.9,2024,1,8,8,0,5
172,9.86704944,9050,506624283.8,2024,1,8,8,2,3
173,1.85227163,278,285351799,2024,1,8,8,4,1
174,8.936016698,909,763893966.8,2024,1,8,8,4,5
175,5.834604953,6076,839614033.8,2024,1,8,8,4,3
176,3.897715147,4666,858214422.5,2024,1,8,8,2,2
177,3.531993406,9861,467669029.3,2024,1,8,8,0,1
178,1.362883325,7746,519504264,2024,1,8,8,4,4
179,9.642785884,6830,967138779.7,2024,1,8,8,4,4
180,6.047654713,7069,375842432.2,2024,1,8,8,0,1
181,8.939447314,4419,255543524.6,2024,1,8,8,4,0
182,2.832463833,3541,438731959.5,2024,1,8,8,2,2
183,1.09243873,7476,142709034.4,2024,1,8,8,1,3
184,3.893871172,7636,370902045.9,2024,1,8,8,4,2
185,3.576145201,661,104314220.6,2024,1,8,8,0,1
186,4.611468981,6563,362262463.9,2024,1,8,8,4,1
187,3.574667436,2921,976470942,2024,1,8,8,4,2
188,4.9129834,918,799070372.7,2024,1,8,8,0,1
189,4.293376626,8445,867166824.6,2024,1,8,8,0,3
190,3.26841174,6101,328257220.8,2024,1,8,8,0,3
